Series Name;Series Code;Country Name;Country Code;1990 [YR1990];2000 [YR2000];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017]
Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$);DT.INT.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Interest payments on external debt, short-term (INT, current US$);DT.INT.DSTC.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Interest payments on external debt, total (INT, current US$);DT.INT.DECT.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Interest rate spread (lending rate minus deposit rate, %);FR.INR.LNDP;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Interest rescheduled (capitalized) (current US$);DT.IXR.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Interest rescheduled, official (current US$);DT.IXR.OFFT.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Interest rescheduled, private (current US$);DT.IXR.PRVT.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Internally displaced persons, new displacement associated with conflict and violence (number of cases);VC.IDP.NWCV;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Internally displaced persons, new displacement associated with disasters (number of cases);VC.IDP.NWDS;United States;USA;..;..;2019773;1326;..;52225;900932;187865;34321;63337;1107321;..
Internally displaced persons, total displaced by conflict and violence (number of people);VC.IDP.TOCV;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
International migrant stock (% of population);SM.POP.TOTL.ZS;United States;USA;9,195660425;12,30631924;..;..;14,25848364;..;..;..;..;14,49065352;..;..
International migrant stock, total;SM.POP.TOTL;United States;USA;23251026;34814053;..;..;44183643;..;..;..;..;46627102;..;..
International tourism, expenditures (% of total imports);ST.INT.XPND.MP.ZS;United States;USA;..;6,317881151;4,698901049;5,23446624;4,686400118;4,352141986;4,713834037;4,723501259;4,903919354;5,434074447;5,927976512;..
International tourism, expenditures (current US$);ST.INT.XPND.CD;United States;USA;..;91473000000;1,19838E+11;1,02953E+11;1,10049E+11;1,16448E+11;1,29902E+11;1,30148E+11;1,40558E+11;1,50217E+11;1,60818E+11;..
International tourism, expenditures for passenger transport items (current US$);ST.INT.TRNX.CD;United States;USA;..;23613000000;27292000000;21532000000;23426000000;26747000000;29565000000;32029000000;34890000000;35494000000;37198000000;..
International tourism, expenditures for travel items (current US$);ST.INT.TVLX.CD;United States;USA;..;67860000000;92546000000;81421000000;86623000000;89701000000;1,00337E+11;98119000000;1,05668E+11;1,14723E+11;1,2362E+11;..
International tourism, number of arrivals;ST.INT.ARVL;United States;USA;..;51238000;58007000;55103000;60010000;62821000;66657000;69995000;75022000;77465000;75608000;..
International tourism, number of departures;ST.INT.DPRT;United States;USA;..;61327000;63653000;62051000;61061000;59209000;60697000;61874000;68176000;73453000;..;..
International tourism, receipts (% of total exports);ST.INT.RCPT.XP.ZS;United States;USA;..;11,24427032;8,944387339;9,222823522;9,063208754;8,821218804;9,058048083;9,526940588;9,932640376;10,92774571;11,08243349;..
International tourism, receipts (current US$);ST.INT.RCPT.CD;United States;USA;..;1,20912E+11;1,64721E+11;1,46002E+11;1,67996E+11;1,87629E+11;2,00997E+11;2,18496E+11;2,3599E+11;2,47394E+11;2,44708E+11;..
International tourism, receipts for passenger transport items (current US$);ST.INT.TRNR.CD;United States;USA;..;20196000000;30956000000;26102000000;30986000000;36763000000;39364000000;41013000000;44071000000;41976000000;38770000000;..
International tourism, receipts for travel items (current US$);ST.INT.TVLR.CD;United States;USA;..;1,00716E+11;1,33765E+11;1,199E+11;1,3701E+11;1,50866E+11;1,61633E+11;1,77483E+11;1,91919E+11;2,05418E+11;2,05938E+11;..
Investment in energy with private participation (current US$);IE.PPI.ENGY.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Investment in ICT with private participation (current US$);IE.PPI.ICTI.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Investment in telecoms with private participation (current US$);IE.PPI.TELE.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Investment in transport with private participation (current US$);IE.PPI.TRAN.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Investment in water and sanitation with private participation (current US$);IE.PPI.WATR.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate);SL.TLF.ACTI.1524.FE.ZS;United States;USA;60,0929985;59,98899841;52,9640007;51,41199875;49,49900055;49,17100143;49,25;49,61999893;49,79499817;50,10400009;50,44200134;50,07600021
Labor force participation rate for ages 15-24, female (%) (national estimate);SL.TLF.ACTI.1524.FE.NE.ZS;United States;USA;62,86000061;63;56,5;55,22999954;53,54999924;53,27999878;53,20000076;53,47999954;53,58000183;53,79000092;53,77999878;54,27000046
Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate);SL.TLF.ACTI.1524.MA.ZS;United States;USA;68,59300232;65,16699982;56,77099991;54,27899933;52,30699921;51,99200058;52,28300095;52,48099899;52,38999939;52,42699814;52,91999817;52,47999954
Labor force participation rate for ages 15-24, male (%) (national estimate);SL.TLF.ACTI.1524.MA.NE.ZS;United States;USA;71,76000214;68,58999634;61,02000046;58,47000122;56,75;56,61000061;56,52999878;56,59000015;56,40999985;56,18000031;56,52000046;56,65000153
Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate);SL.TLF.ACTI.1524.ZS;United States;USA;64,47299957;62,63700104;54,9129982;52,88000107;50,93700027;50,61600113;50,8030014;51,08399963;51,12200165;51,29100037;51,70800018;51,3030014
Labor force participation rate for ages 15-24, total (%) (national estimate);SL.TLF.ACTI.1524.NE.ZS;United States;USA;67,30000305;65,80000305;58,77999878;56,86000061;55,15999985;54,97000122;54,88000107;55,04999924;55,00999832;55;55,15999985;55,47000122
Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;United States;USA;56,20600128;59,02299881;58,45800018;58,14500046;57,5;56,92900085;56,70000076;56,29199982;56,11000061;55,83200073;55,99000168;55,73500061
Labor force participation rate, female (% of female population ages 15+) (national estimate);SL.TLF.CACT.FE.NE.ZS;United States;USA;57,52999878;59,93999863;59,47000122;59,18999863;58,61999893;58,09999847;57,68000031;57,20999908;56,97000122;56,68000031;56,79999924;57,04000092
Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate);SL.TLF.CACT.MA.ZS;United States;USA;75,29399872;74,22699738;71,79699707;70,77300262;69,93199921;69,35700226;69,34700012;68,98799896;68,54299927;68,42900085;68,55799866;68,26799774
Labor force participation rate, male (% of male population ages 15+) (national estimate);SL.TLF.CACT.MA.NE.ZS;United States;USA;76,36000061;74,80999756;72,94999695;71,94999695;71,18000031;70,48000336;70,16000366;69,73000336;69,20999908;69,05000305;69,19000244;69,06999969
Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;United States;USA;65,44400024;66,43099976;64,98300171;64,3239975;63,58499908;63,01599884;62,89799881;62,51699829;62,20899963;62,01399994;62,15999985;61,89099884
Labor force participation rate, total (% of total population ages 15+) (national estimate);SL.TLF.CACT.NE.ZS;United States;USA;66,51999664;67,06999969;65,98999786;65,37000275;64,70999908;64,11000061;63,70000076;63,25;62,88999939;62,65000153;62,79000092;62,84999847
Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with advanced education, female (% of female working-age population with advanced education);SL.TLF.ADVN.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with advanced education, male (% of male working-age population with advanced education);SL.TLF.ADVN.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with basic education (% of total working-age population with basic education);SL.TLF.BASC.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with basic education, female (% of female working-age population with basic education);SL.TLF.BASC.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with basic education, male (% of male working-age population with basic education);SL.TLF.BASC.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with intermediate education (% of total working-age population with intermediate education);SL.TLF.INTM.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with intermediate education, female (% of female working-age population with intermediate education);SL.TLF.INTM.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor force with intermediate education, male (% of male working-age population with intermediate education);SL.TLF.INTM.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Labor tax and contributions (% of commercial profits);IC.TAX.LABR.CP.ZS;United States;USA;..;..;..;..;..;..;..;9,7;9,7;9,8;9,8;9,8
Land area (sq. km);AG.LND.TOTL.K2;United States;USA;9158960;9161920;9147420;9147420;9147420;9147420;9147420;9147420;9147420;9147420;9147420;9147420
Land area where elevation is below 5 meters (% of total land area);AG.LND.EL5M.ZS;United States;USA;1,167679223;1,167679223;..;..;1,167679223;..;..;..;..;..;..;..
Land under cereal production (hectares);AG.LND.CREL.HA;United States;USA;65700000;58526104;60985598;57935257;57483050;56667791;60253274;59486800;57979030;58120047;58454097;..
"Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)";SG.LAW.EQRM.WK;United States;USA;..;..;..;..;..;..;..;0;..;0;..;0
"Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)";SG.LAW.NODC.HR;United States;USA;..;..;..;1;..;1;..;1;..;1;..;1
"Law mandates paid or unpaid maternity leave (1=yes; 0=no)";SG.LAW.LEVE.PU;United States;USA;..;..;..;0;..;0;..;0;..;0;..;0
"Law prohibits or invalidates child or early marriage (1=yes; 0=no)";SG.LAW.CHMR;United States;USA;..;..;..;..;..;..;..;..;..;1;..;1
Lead time to export, median case (days);LP.EXP.DURS.MD;United States;USA;..;..;..;..;2,82;..;2;..;2;..;3;..
Lead time to import, median case (days);LP.IMP.DURS.MD;United States;USA;..;..;..;..;4,04;..;2;..;2;..;3;..
"Legislation exists on domestic violence (1=yes; 0=no)";SG.LEG.DVAW;United States;USA;..;..;..;..;..;..;..;1;..;1;..;1
Lending interest rate (%);FR.INR.LEND;United States;USA;10,00916667;9,233333333;5,0875;3,25;3,25;3,25;3,25;3,25;3,25;3,26;3,511666667;..
Life expectancy at birth, female (years);SP.DYN.LE00.FE.IN;United States;USA;78,8;79,3;80,6;80,9;81;81,1;81,2;81,2;81,3;81,2;81,2;..
Life expectancy at birth, male (years);SP.DYN.LE00.MA.IN;United States;USA;71,8;74,1;75,6;76;76,2;76,3;76,4;76,4;76,5;76,3;76,3;..
Life expectancy at birth, total (years);SP.DYN.LE00.IN;United States;USA;75,21463415;76,63658537;78,03902439;78,3902439;78,54146341;78,64146341;78,74146341;78,74146341;78,84146341;78,6902439;78,6902439;..
Lifetime risk of maternal death (%);SH.MMR.RISK.ZS;United States;USA;0,02428556;0,02299154;0,02737514;0,028303791;0,027482039;0,027353198;0,026997917;0,026624508;0,026312928;0,026115561;..;..
Lifetime risk of maternal death (1 in: rate varies by country);SH.MMR.RISK;United States;USA;4100;4300;3700;3500;3600;3700;3700;3800;3800;3800;..;..
Liner shipping connectivity index (maximum value in 2004 = 100);IS.SHP.GCNW.XQ;United States;USA;..;..;82,45;82,43;83,8;81,63;91,7;92,8;95,09;96,74;98,7;..
Listed domestic companies, total;CM.MKT.LDOM.NO;United States;USA;6429;6917;4666;4401;4279;4171;4102;4180;4369;4381;4331;4336
Livestock production index (2004-2006 = 100);AG.PRD.LVSK.XD;United States;USA;78,81;97,48;106,78;104,63;105,95;106,81;106,79;107,85;107,91;..;..;..
Logistics performance index: Ability to track and trace consignments (1=low to 5=high);LP.LPI.TRAC.XQ;United States;USA;..;..;..;..;4,17;..;4,11;..;4,137596;..;4,200025;..
Logistics performance index: Competence and quality of logistics services (1=low to 5=high);LP.LPI.LOGS.XQ;United States;USA;..;..;..;..;3,92;..;3,96;..;3,970199;..;4,014226;..
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high);LP.LPI.ITRN.XQ;United States;USA;..;..;..;..;3,21;..;3,56;..;3,44804;..;3,650306;..
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high);LP.LPI.CUST.XQ;United States;USA;..;..;..;..;3,68;..;3,67;..;3,728529;..;3,752486;..
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high);LP.LPI.TIME.XQ;United States;USA;..;..;..;..;4,19;..;4,21;..;4,136495;..;4,250527;..
Logistics performance index: Overall (1=low to 5=high);LP.LPI.OVRL.XQ;United States;USA;..;..;..;..;3,86;..;3,93;..;3,917825;..;3,992172;..
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high);LP.LPI.INFR.XQ;United States;USA;..;..;..;..;4,15;..;4,14;..;4,184653;..;4,152011;..
Losses due to theft and vandalism (% of annual sales of affected firms);IC.FRM.CRIM.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Low-birthweight babies (% of births);SH.STA.BRTW.ZS;United States;USA;..;..;..;..;8,1;..;..;..;..;..;..;..
Machinery and transport equipment (% of value added in manufacturing);NV.MNF.MTRN.ZS.UN;United States;USA;22,62217213;29,71835645;24,96217222;..;28,96662855;28,31836624;..;..;..;..;..;..
Mammal species, threatened;EN.MAM.THRD.NO;United States;USA;..;..;..;..;..;..;..;..;..;..;..;36
Manufactures exports (% of merchandise exports);TX.VAL.MANF.ZS.UN;United States;USA;74,08029447;82,74892084;74,04305574;66,78708139;66,15530672;63,5294613;63,4280805;62,3134837;61,96732995;64,1865714;63,54045738;..
Manufactures imports (% of merchandise imports);TM.VAL.MANF.ZS.UN;United States;USA;73,0502391;77,32415779;65,75855767;70,49525071;70,10266751;67,96417297;70,06778467;71,59679275;73,23636678;78,75844816;79,6535004;..
Manufacturing, value added (% of GDP);NV.IND.MANF.ZS;United States;USA;..;15,50738959;12,62158746;12,16967258;12,44611586;12,52182152;12,50394939;12,41858535;12,29859825;12,26977;..;..
Manufacturing, value added (annual % growth);NV.IND.MANF.KD.ZG;United States;USA;..;6,220753161;-2,851222098;-7,75257723;5,414323432;0,295078111;0,337985917;2,067315226;1,099106159;1,472453535;..;..
Manufacturing, value added (constant 2010 US$);NV.IND.MANF.KD;United States;USA;..;1,58827E+12;1,8571E+12;1,71313E+12;1,80588E+12;1,81121E+12;1,81733E+12;1,8549E+12;1,87529E+12;1,9029E+12;..;..
Manufacturing, value added (constant LCU);NV.IND.MANF.KN;United States;USA;..;1,58827E+12;1,8571E+12;1,71313E+12;1,80588E+12;1,81121E+12;1,81733E+12;1,8549E+12;1,87529E+12;1,9029E+12;..;..
Manufacturing, value added (current LCU);NV.IND.MANF.CN;United States;USA;..;1,54199E+12;1,79807E+12;1,7026E+12;1,80588E+12;1,88295E+12;1,95662E+12;2,00599E+12;2,07024E+12;2,14236E+12;..;..
Manufacturing, value added (current US$);NV.IND.MANF.CD;United States;USA;..;1,54199E+12;1,79807E+12;1,7026E+12;1,80588E+12;1,88295E+12;1,95662E+12;2,00599E+12;2,07024E+12;2,14236E+12;..;..
Marine protected areas (% of territorial waters);ER.MRN.PTMR.ZS;United States;USA;22,6;28,3;..;..;..;..;..;..;31,7;..;41,08291724;..
Market capitalization of listed domestic companies (% of GDP);CM.MKT.LCAP.GD.ZS;United States;USA;51,73346362;146,8942697;78,74588585;104,5672977;115,4973405;100,7912207;115,5557941;143,9944226;151,0854942;138,336379;146,8615933;..
Market capitalization of listed domestic companies (current US$);CM.MKT.LCAP.CD;United States;USA;3,09345E+12;1,51078E+13;1,15903E+13;1,50773E+13;1,72835E+13;1,56407E+13;1,86683E+13;2,40349E+13;2,63306E+13;2,50675E+13;2,73522E+13;3,21207E+13
Maternal mortality ratio (modeled estimate, per 100,000 live births);SH.STA.MMRT;United States;USA;12;12;14;15;14;14;14;14;14;14;..;..
Maternal mortality ratio (national estimate, per 100,000 live births);SH.STA.MMRT.NE;United States;USA;..;..;..;..;..;..;..;28;..;..;..;..
Medium and high-tech exports (% manufactured exports);TX.MNF.TECH.ZS.UN;United States;USA;72,50563942;75,45438713;68,96113431;66,42304148;64,74544781;62,19765538;62,53326388;61,74148105;62,35706979;65,28744723;..;..
Medium and high-tech industry (% manufacturing value added);NV.MNF.TECH.ZS.UN;United States;USA;48,65404543;51,01316733;51,32767874;40,32291365;47,69114239;47,20438876;41,17888512;41,16643266;41,16643266;41,16643266;..;..
Merchandise exports (current US$);TX.VAL.MRCH.CD.WT;United States;USA;3,93592E+11;7,81918E+11;1,28744E+12;1,05604E+12;1,2785E+12;1,48251E+12;1,5457E+12;1,57959E+12;1,62053E+12;1,50257E+12;1,45101E+12;..
Merchandise exports by the reporting economy (current US$);TX.VAL.MRCH.WL.CD;United States;USA;3,92743E+11;7,72147E+11;1,30012E+12;1,05691E+12;1,27749E+12;1,48248E+12;1,5458E+12;1,57843E+12;1,62048E+12;1,50457E+12;1,4537E+12;..
Merchandise exports by the reporting economy, residual (% of total merchandise exports);TX.VAL.MRCH.RS.ZS;United States;USA;4,032968124;0,231367921;0,369334741;0,347975661;0,342452537;0,235477248;0,185203654;0,195081808;0,188788743;0,173657416;0,221693793;..
Merchandise exports to economies in the Arab World (% of total merchandise exports);TX.VAL.MRCH.AL.ZS;United States;USA;2,975380847;2,211431816;4,005602861;4,154712829;3,807220858;3,800264024;4,252412666;4,49806973;4,406436509;4,482700482;4,407363751;..
Merchandise exports to high-income economies (% of total merchandise exports);TX.VAL.MRCH.HI.ZS;United States;USA;75,37807167;70,18134375;64,39402505;63,08301629;61,20827945;60,29985401;59,86539585;58,89503953;58,83165765;59,8312216;59,95674044;..
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports);TX.VAL.MRCH.R1.ZS;United States;USA;4,008091806;5,833372618;8,540779346;9,591877477;10,4479257;10,10426437;10,12722299;10,77610931;10,61200763;10,82521293;11,25182423;..
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports);TX.VAL.MRCH.R2.ZS;United States;USA;0,691699152;0,995821002;2,050416215;1,574765378;1,656356221;1,995863432;1,905031223;1,900113563;1,799168341;1,385100067;1,404676351;..
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports);TX.VAL.MRCH.R3.ZS;United States;USA;12,49458297;20,59502157;20,29472786;20,67868405;21,79342334;22,83169265;23,76120337;23,97881148;24,28355576;23,98800856;23,57166529;..
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports);TX.VAL.MRCH.R4.ZS;United States;USA;1,353225901;0,805675812;1,244322261;1,392158106;1,340314831;1,227236766;1,029655996;1,102116137;1,151183706;0,943987986;0,874565235;..
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports);TX.VAL.MRCH.R5.ZS;United States;USA;1,009107737;0,597464109;1,68798083;1,922031425;1,885751202;1,888017982;1,679324827;1,644111112;1,57011182;1,678997035;1,794015436;..
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports);TX.VAL.MRCH.R6.ZS;United States;USA;1,032252644;0,759933215;1,418413696;1,409491604;1,325496722;1,417593545;1,446962094;1,508617071;1,56352635;1,173814407;0,924819222;..
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports);TX.VAL.MRCH.OR.ZS;United States;USA;20,58896021;29,58728832;35,23664021;36,56900805;38,44926801;39,46466874;39,9494005;40,90987867;40,97955361;39,99512099;39,82156577;..
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports);TX.VAL.MRCH.WR.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Merchandise imports (current US$);TM.VAL.MRCH.CD.WT;United States;USA;5,16987E+11;1,2593E+12;2,16949E+12;1,6053E+12;1,96918E+12;2,26602E+12;2,33652E+12;2,32906E+12;2,41255E+12;2,3153E+12;2,25015E+12;..
Merchandise imports by the reporting economy (current US$);TM.VAL.MRCH.WL.CD;United States;USA;5,17014E+11;1,23825E+12;2,16599E+12;1,60357E+12;1,96812E+12;2,20795E+12;2,27627E+12;2,26837E+12;2,34768E+12;2,24166E+12;2,18918E+12;..
Merchandise imports by the reporting economy, residual (% of total merchandise imports);TM.VAL.MRCH.RS.ZS;United States;USA;1,455182469;0,067474356;0,042830365;0,036113254;0,057892847;0,069387272;0,04441092;0,025505931;0,022555963;0,027119702;0,023667606;..
Merchandise imports from economies in the Arab World (% of total merchandise imports);TM.VAL.MRCH.AL.ZS;United States;USA;3,867843475;2,477152803;5,588053703;3,6220951;3,875299601;4,501567695;4,911547889;4,199428642;3,758514482;2,001922094;1,860705779;..
Merchandise imports from high-income economies (% of total merchandise imports);TM.VAL.MRCH.HI.ZS;United States;USA;74,31426448;63,89080961;51,88486153;49,94698692;48,6091236;49,17868604;49,89579299;50,17947888;50,5242826;49,51829639;49,12517948;..
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports);TM.VAL.MRCH.R1.ZS;United States;USA;6,725559956;14,31408501;21,01279754;24,28432025;24,26726984;22,59048606;23,21988075;24,24051074;25,03271055;27,46245075;27,57927465;..
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports);TM.VAL.MRCH.R2.ZS;United States;USA;0,283028977;1,121875243;2,098355452;1,832958086;1,962361215;2,206270333;1,897622505;1,814123767;1,654347582;1,388872231;1,289239389;..
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports);TM.VAL.MRCH.R3.ZS;United States;USA;12,20844611;16,30161869;16,6914783;17,22758097;17,84032041;18,74957896;18,84267638;18,53180978;18,21034868;17,64229753;17,75503895;..
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports);TM.VAL.MRCH.R4.ZS;United States;USA;1,388201717;0,917780458;2,462965262;1,703696211;1,784612799;1,708734432;1,659918165;1,120618526;0,985930876;0,559062251;0,644930654;..
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports);TM.VAL.MRCH.R5.ZS;United States;USA;1,019275679;1,48012329;1,70807143;1,942320567;2,081297125;2,13122453;2,260345707;2,356128948;2,430116524;2,562572025;2,664602947;..
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports);TM.VAL.MRCH.R6.ZS;United States;USA;2,606040608;1,906233338;4,098640126;3,026023743;3,397122166;3,365632365;2,179352582;1,731823421;1,139707218;0,839329122;0,918066326;..
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports);TM.VAL.MRCH.OR.ZS;United States;USA;24,23055305;36,04171603;48,07230811;50,01689983;51,33298356;50,75192669;50,05979609;49,79501519;49,45316143;50,45458391;50,85115292;..
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports);TM.VAL.MRCH.WR.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Merchandise trade (% of GDP);TG.VAL.TOTL.GD.ZS;United States;USA;15,22812019;19,8469797;23,48683521;18,45749965;21,70274102;24,15614036;24,03073811;23,41700158;23,1418947;21,06911148;19,87258476;..
Methane emissions (% change from 1990);EN.ATM.METH.ZG;United States;USA;..;-12,70740673;-14,08922959;-17,08513948;-17,71026103;-19,24094272;-21,6152562;..;..;..;..;..
Methane emissions (kt of CO2 equivalent);EN.ATM.METH.KT.CE;United States;USA;637636;556609;547798;528695;524709;514948,8225;499809,345;..;..;..;..;..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent);EN.ATM.METH.EG.KT.CE;United States;USA;252381,8072;235274,8467;219505,4044;..;..;..;..;..;..;..;..;..
Methodology assessment of statistical capacity (scale 0 - 100);IQ.SCI.MTHD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Military expenditure (% of central government expenditure);MS.MIL.XPND.ZS;United States;USA;23,81552439;16,41763349;18,44249323;18,05757263;17,79040962;17,97204868;17,5702922;16,53123303;15,28811891;14,50346956;14,43612236;..
Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;United States;USA;5,120251576;2,933432016;4,220046469;4,636792441;4,665615102;4,583975977;4,238744607;3,832509651;3,499699815;3,289106814;3,281630451;..
Military expenditure (current LCU);MS.MIL.XPND.CN;United States;USA;3,0617E+11;3,01697E+11;6,21131E+11;6,68567E+11;6,9818E+11;7,11338E+11;6,8478E+11;6,39704E+11;6,09914E+11;5,9601E+11;6,11186E+11;..
Mineral rents (% of GDP);NY.GDP.MINR.RT.ZS;United States;USA;0,052867609;0,013721785;0,165321423;0,078378329;0,129174632;0,169052738;0,149207;0,124749535;0,091881892;0,076511447;0,074278451;..
Mobile account (% age 15+);WP15163_4.1;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Mobile account, female (% age 15+);WP15163_4.3;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Mobile account, income, poorest 40% (% ages 15+);WP15163_4.8;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Mobile account, income, richest 60% (% ages 15+);WP15163_4.9;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Mobile account, male (% age 15+);WP15163_4.2;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Mobile cellular subscriptions;IT.CEL.SETS;United States;USA;5283055;109478031;261300000;274283000;285118000;297404000;304838000;310698000;355500000;382307000;395881000;..
Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;United States;USA;2,092050864;38,82436785;86,13129085;89,61260458;92,37840689;95,61250193;97,28807458;98,46652501;111,8914032;119,4973905;122,8758723;..
Mortality caused by road traffic injury (per 100,000 people);SH.STA.TRAF.P5;United States;USA;..;15,5;..;..;11,5;..;..;..;..;10,8;..;..
Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%);SH.DYN.NCOM.ZS;United States;USA;..;18;..;..;14;..;..;..;..;14;..;..
Mortality rate, adult, female (per 1,000 female adults);SP.DYN.AMRT.FE;United States;USA;90,817;83,253;78,706;79,044;77,137;77,866;77,626;77,962;79,191;80,229;..;..
Mortality rate, adult, male (per 1,000 male adults);SP.DYN.AMRT.MA;United States;USA;172,059;143,765;136,775;134,926;131,851;132,036;131,191;131,037;131,567;133,993;..;..
Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;United States;USA;9,4;7,1;6,5;6,4;6,2;6,1;6;5,9;5,8;5,7;5,6;..
Mortality rate, infant, female (per 1,000 live births);SP.DYN.IMRT.FE.IN;United States;USA;8,3;6,4;..;..;5,6;..;..;..;..;5,1;5,1;..
Mortality rate, infant, male (per 1,000 live births);SP.DYN.IMRT.MA.IN;United States;USA;10,4;7,8;..;..;6,8;..;..;..;..;6,2;6,1;..
Mortality rate, neonatal (per 1,000 live births);SH.DYN.NMRT;United States;USA;5,8;4,6;4,2;4,2;4,1;4;4;4;3,9;3,8;3,7;..
Mortality rate, under-5 (per 1,000 live births);SH.DYN.MORT;United States;USA;11,2;8,4;7,6;7,5;7,3;7,2;7;6,9;6,8;6,6;6,5;..
Mortality rate, under-5, female (per 1,000 live births);SH.DYN.MORT.FE;United States;USA;9,9;7,6;..;..;6,6;..;..;..;..;6;5,9;..
Mortality rate, under-5, male (per 1,000 live births);SH.DYN.MORT.MA;United States;USA;12,5;9,3;..;..;8;..;..;..;..;7,2;7,1;..
"Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)";SG.MMR.LEVE.EP;United States;USA;..;..;..;1;..;1;..;1;..;1;..;1
Multilateral debt (% of total external debt);DT.DOD.MLAT.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Multilateral debt service (% of public and publicly guaranteed debt service);DT.TDS.MLAT.PG.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
